season,week,team,season_type,game_id,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,passing_10,passing_16,passing_20,passing_40,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,rushing_10,rushing_12,rushing_20,rushing_40,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,receiving_10,receiving_16,receiving_20,receiving_40,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,fumbles_forced_by_opp,fumbles_not_forced,fumbles_out_of_bounds,fumbles_total,fumbles_lost_total,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance,pt_att,pt_blocked,pt_long,pt_yards,pt_inside_20,pt_out_of_bounds,pt_downed,pt_touchback,pt_fair_caught,pt_returned,pt_return_yards,pt_return_tds,pt_net_yards
2003,6,HOU,REG,2003_06_HOU_TEN,TEN,25,42,371,2,3,1,-4,0,0,0,371,15,-2.815519583371516,,0,13,9,5,1,16,91,0,0,0,6,3.6818760709720664,0,4,3,1,0,25,0,371,2,0,0,0,0,15,26.798465706815477,0,13,9,5,1,0,34,12,18,0,0,0,1.0,0.0,0,0,0,3,0,0,0,0,0,0,1,0,0,6,50,3,0,0,0,0,0,1,4,7,105,1,1,0,0,29,1.0,0,1,0,0,0,0,0,0,0,0,0,0,29,,,29,0,0,2,2,0,0,1.0,0,0,0,0,0,6,0,47,239,3,0,3,0,2,1,0,0,239
2003,7,HOU,REG,2003_07_NYJ_HOU,NYJ,15,23,170,0,0,2,-14,0,0,0,170,7,0.020513371797278523,,0,6,2,2,0,36,169,2,0,0,10,-0.047716798493638635,0,7,4,0,0,15,0,170,0,0,0,0,0,7,13.281847909616772,0,6,2,2,0,0,35,9,15,0,0,0,2.0,22.0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,50,6,0,0,0,0,0,1,8,5,134,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,2,0,0,1.0,0,0,0,0,0,7,0,51,247,4,0,0,1,3,3,45,0,182
2003,8,HOU,REG,2003_08_HOU_IND,IND,20,26,150,1,1,2,-11,0,0,0,150,8,1.3364110353286378,,0,6,3,2,0,28,131,2,1,1,9,3.841263699956471,0,6,6,1,0,20,0,150,1,0,0,0,0,8,8.078666441957466,0,6,3,2,0,0,37,15,15,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,7,52,6,1,0,0,1,1,2,11,7,128,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,3,3,0,0,1.0,0,0,0,0,0,5,0,49,205,3,0,0,0,4,1,0,0,205
2003,9,HOU,REG,2003_09_CAR_HOU,CAR,13,19,154,1,0,2,-5,0,0,0,154,8,8.59650823046104,,0,8,4,3,0,30,118,1,0,0,5,1.1437351530767046,0,5,4,1,0,13,0,154,1,0,0,0,0,8,14.902244724915363,0,8,4,3,0,0,33,15,17,0,0,0,0.0,0.0,0,1,0,6,0,0,0,0,0,0,0,0,0,7,55,3,0,0,0,0,0,0,0,3,58,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,2,0,0,1.0,0,0,0,0,0,3,0,55,144,3,0,1,0,1,1,7,0,137
2003,10,HOU,REG,2003_10_HOU_CIN,CIN,11,25,146,2,1,2,-17,0,0,0,146,5,-1.747604900614801,,0,4,2,1,1,19,140,1,0,0,6,8.718476497509982,0,5,3,1,1,11,0,146,2,0,0,0,0,5,14.59458369197091,0,4,2,1,1,0,65,0,26,0,0,0,0.0,0.0,0,1,0,2,0,0,0,0,0,0,0,0,0,6,58,5,0,0,0,0,0,2,3,7,186,2,2,0,0,45,1.0,0,0,1,1,0,0,0,0,0,0,0,0,45;33,,,78,0,0,3,3,0,0,1.0,0,0,0,0,0,4,0,49,141,1,0,1,0,1,2,0,0,141
2003,11,HOU,REG,2003_11_HOU_BUF,BUF,13,20,219,1,1,4,-8,1,0,0,219,7,3.8093819908235833,,0,7,5,3,2,28,34,0,1,0,3,-10.849423047053161,0,1,1,0,0,13,0,219,1,0,0,0,0,7,16.620196297415532,0,7,5,3,2,0,36,14,22,0,0,2,4.0,31.0,0,0,0,4,0,0,0,0,1,-1,1,-1,0,11,65,4,1,1,1,2,0,4,22,3,32,2,2,0,0,41,1.0,0,0,1,1,0,0,0,0,0,0,0,0,41;34,,,75,0,0,0,0,0,0,,0,0,0,0,0,5,0,43,191,3,0,2,0,1,2,10,0,181
2003,12,HOU,REG,2003_12_NE_HOU,NE,10,25,93,2,1,3,-13,0,0,0,93,7,-10.549298062871173,,0,6,1,0,0,30,89,0,0,0,3,-6.138147252301499,0,2,2,0,0,10,0,93,2,0,0,0,0,7,13.18657479644753,0,6,1,0,0,0,55,25,35,0,0,1,4.0,24.0,0,2,34,13,0,1,0,0,0,0,1,33,0,6,45,5,1,0,0,1,1,1,0,5,115,2,2,0,0,31,1.0,1,0,1,0,0,0,0,0,0,0,0,0,19;31,,,50,0,0,2,2,0,0,1.0,0,0,0,0,0,8,0,50,312,4,0,1,0,3,4,42,0,270
2003,13,HOU,REG,2003_13_ATL_HOU,ATL,10,19,125,0,1,4,-24,1,0,0,125,6,-7.215359890183781,,0,7,2,2,0,31,135,2,0,0,8,1.28456980350893,0,3,3,1,0,10,0,125,0,1,0,0,0,6,8.135057798240464,0,7,2,2,0,0,38,13,13,0,0,1,1.0,2.0,0,1,22,12,0,0,0,0,2,0,0,0,0,5,53,4,2,0,0,2,0,3,45,3,72,1,2,1,0,40,0.5,0,0,0,1,0,0,0,0,0,0,1,0,40,52,,40,52,0,2,2,0,0,1.0,0,0,0,0,0,5,0,58,236,1,0,0,1,1,3,48,0,168
2003,14,HOU,REG,2003_14_HOU_JAX,JAX,11,23,71,0,1,3,-17,1,0,0,71,4,-14.315169138426427,,0,3,0,0,0,23,70,0,1,1,2,-6.243906950519886,0,2,2,0,0,11,0,71,0,1,1,0,0,4,0.5267137975315563,0,3,0,0,0,0,61,1,5,0,0,0,1.0,12.0,0,0,0,1,0,0,0,0,1,0,0,0,0,10,86,4,3,0,0,3,2,3,3,6,88,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,10,0,52,419,2,0,0,1,3,6,55,0,344
2003,15,HOU,REG,2003_15_HOU_TB,TB,9,17,64,0,0,5,-22,1,0,0,64,3,-7.092034098188435,,0,3,1,1,0,19,65,0,1,0,3,-2.0888214655569755,0,2,2,0,0,9,0,64,0,0,0,0,0,3,5.870438075973652,0,3,1,1,0,0,46,16,20,0,0,1,0.0,0.0,0,0,0,5,0,0,0,0,2,0,0,0,0,9,62,5,1,1,0,2,0,2,24,5,99,1,1,0,0,38,1.0,0,0,1,0,0,0,0,0,0,0,0,0,38,,,38,0,0,0,0,0,0,,0,0,0,0,0,7,0,53,304,0,0,0,0,2,5,36,0,268
2003,16,HOU,REG,2003_16_TEN_HOU,TEN,17,34,242,1,2,1,-7,0,0,0,242,9,-1.3176047260692676,,0,9,5,4,1,18,91,1,1,1,4,-7.095023120811675,0,3,2,0,0,17,0,242,1,0,0,0,0,9,15.139081958035812,0,9,5,4,1,0,34,22,26,0,0,0,0.0,0.0,0,1,95,10,1,0,0,0,0,0,0,0,0,7,75,2,1,0,0,1,1,4,16,5,97,1,1,0,0,49,1.0,0,0,0,1,0,0,0,0,0,0,0,0,49,,,49,0,0,3,3,0,0,1.0,0,0,0,0,0,7,0,57,332,3,0,0,0,4,3,40,0,292
2003,17,HOU,REG,2003_17_IND_HOU,IND,13,23,105,0,1,0,0,0,0,0,105,5,-9.356739865624654,,0,5,1,0,0,22,99,2,0,0,5,2.557278780208435,0,4,3,1,0,13,0,105,0,0,0,0,0,5,4.681492531555705,0,5,1,0,0,0,56,17,17,0,0,2,1.0,9.0,0,1,41,13,0,0,0,0,0,0,1,0,0,6,40,2,0,0,0,0,0,3,28,4,78,1,1,0,0,36,1.0,0,0,1,0,0,0,0,0,0,0,0,0,36,,,36,0,0,2,2,0,0,1.0,0,0,0,0,0,7,0,53,332,1,1,0,0,2,4,31,0,301
